test_id,question,question_type,expected_source,top1_source,retrieval_hit_top4,top1_in_expected,citation_match,groundedness,format_adherence,completeness,helpfulness,accuracy,response_time_seconds,observation
Q1,What is a RAID log and what do its four letters stand for?,single,01_raid_log_reference_guide.md,01_raid_log_reference_guide.md,1,1,1,5.0,5.0,5.0,5.0,5.0,33.64,"Correct, complete, cited."
Q2,What is a RACI matrix and what does each of its four roles mean?,single,02_raci_matrix_reference_guide.md,02_raci_matrix_reference_guide.md,1,1,1,5.0,5.0,5.0,5.0,5.0,57.56,"Correct, all four RACI roles defined, cited."
Q3,How should a PMO decide which risk to escalate first when comparing probability and impact?,single,03_risk_probability_impact_framework.md,03_risk_probability_impact_framework.md,1,1,1,5.0,5.0,5.0,5.0,5.0,36.08,States the decision rule directly -- this was Module 7's weakest question (vague answer); now clear and complete.
Q4,Under what conditions should Apex Process Solutions reject a change request?,single,04_change_request_decision_model.md,04_change_request_decision_model.md,1,1,1,5.0,5.0,5.0,5.0,5.0,34.9,"Correct, complete, cited."
Q5,When must a risk be escalated to the weekly PMO steering review?,single,05_pmo_risk_management_policy.md,05_pmo_risk_management_policy.md,1,1,1,5.0,5.0,5.0,5.0,5.0,42.55,All three escalation conditions listed correctly.
Q6,"What five things must an escalation note include, in order?",single,06_pmo_escalation_communication_guide.md,06_pmo_escalation_communication_guide.md,1,1,1,5.0,5.0,5.0,5.0,5.0,34.93,Five-part structure listed in the correct order.
Q7,"Under the vendor and contractor risk addendum, when must a vendor-caused risk move from the Risk category to the Issue category in the RAID log?",single,07_vendor_contractor_risk_addendum.md,07_vendor_contractor_risk_addendum.md,1,1,1,5.0,5.0,5.0,5.0,5.0,49.68,"Correct, complete, cited. (Note: an earlier run of this question was corrupted by an unquoted comma in test_cases.csv that truncated the question text before it reached the model -- a test-harness bug, not a model failure. Fixed and re-run; this is the corrected result.)"
Q8,"Once a task is confirmed behind baseline, what is the first required step in the schedule slippage response playbook?",single,09_schedule_slippage_response_playbook.md,09_schedule_slippage_response_playbook.md,1,1,1,5.0,5.0,5.0,5.0,5.0,39.12,Correctly quotes the first required step.
Q9,A team member says the RAID log and the RACI matrix are basically the same tracking tool for a project. Explain what is different between them and reference both documents.,compound,01_raid_log_reference_guide.md;02_raci_matrix_reference_guide.md,02_raci_matrix_reference_guide.md,1,1,1,5.0,5.0,5.0,5.0,5.0,72.35,"COMPOUND FIX CONFIRMED: retrieved both RAID and RACI chunks (failed at top-2 in Module 7) and correctly explained both, citing both sources by name."
Q10,A vendor missed a delivery date and the resulting rework cost has pushed the project over its approved budget threshold. Explain how this should be logged as a risk and whether it must be escalated under the budget variance policy.,compound,07_vendor_contractor_risk_addendum.md;08_budget_variance_escalation_policy.md,08_budget_variance_escalation_policy.md,1,1,0,3.0,3.0,2.0,2.0,2.0,42.08,"REAL FAILURE: both expected documents were retrieved, but the answer misapplies the Risk-to-Issue rule (says 'not yet an Issue, since the date has not passed' when the question states the vendor date WAS missed), omits the 10% budget-variance threshold, and the citation line names only one of the two required sources."
